city,zip_codes
Carlsbad,"92008,92009,92010,92011"
Chula Vista,"91910,91911,91913,91914,91915"
Coronado,"92118"
Del Mar,"92014"
El Cajon,"92019,92020,92021"
Encinitas,"92024,92007"
Escondido,"92025,92026,92027,92029,92046"
Imperial Beach,"91932,91933"
La Mesa,"91941,91942,91943,91944"
Lemon Grove,"91945,91946"
National City,"91950,91951"
Oceanside,"92054,92055,92056,92057,92058"
Poway,"92064,92074"
San Diego,"92101,92102,92103,92104,92105,92106,92107,92108,92109,92110,92111,92113,92114,92115,92116,92117,92119,92120,92121,92122,92123,92124,92126,92127,92128,92129,92130,92131,92134,92136,92139,92140,92145,92154,92155,92161,92173,92182,91901,91902,91905,91906,91911,91913,91916,91917,91931,91934,91935,91941,91942,91945,91948,91962,91963,91977,91978,91980,92037,92071,92093"
San Marcos,"92069,92078,92079"
Santee,"92071"
Solana Beach,"92075"
Vista,"92081,92083,92084,92085"